configuration_id,arm,step,candidate_id,source_turn,additive_chars,cumulative_chars,scaled_gain,facts_available,domains_available
A3_l0.0_r0.5_k02,A3,2,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,1183,0.019273987669478788,0,0
A3_l0.0_r0.5_k02,A3,3,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,2080,0.016500136994949295,0,0
A3_l0.0_r0.5_k02,A3,4,35725a87-15ce-4373-8456-214188818afb,3,593,2673,0.01546966464407339,3,1
A3_l0.0_r0.5_k02,A3,5,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,3031,0.01398227528117854,4,1
A3_l0.0_r0.5_k02,A3,6,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,3448,0.010929676387408032,5,1
A3_l0.0_r0.5_k02,A3,7,77a1d148-12da-4a70-874d-42e816497c9a,118,773,4221,0.008093848183835116,9,2
A3_l0.0_r0.5_k02,A3,8,7307e832-370a-43ea-b25b-449f929de49e,115,597,4818,0.006370355622939481,10,3
A3_l0.0_r0.5_k02,A3,9,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,9035,0.006192977090972294,10,3
A3_l0.0_r0.5_k02,A3,10,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,13460,0.005496661931080729,10,3
A3_l0.0_r0.5_k02,A3,11,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,16987,0.005335817743192912,10,3
A3_l0.0_r0.5_k02,A3,12,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,19987,0.00520116764490853,10,3
A3_l0.0_r0.5_k02,A3,13,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,25460,0.004740638032878032,11,4
A3_l0.0_r0.5_k02,A3,14,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,29630,0.004712837062115806,11,4
