configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A3_l0.1_r0.5_k08,A3,deployed_n_union_k,0.1,0.5,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9913,,16,False,False,False
A3_l0.1_r0.5_k16,A3,deployed_n_union_k,0.1,0.5,16,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9879,,16,False,False,False
A3_l0.1_r1.0_k02,A3,deployed_n_union_k,0.1,1.0,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9883,,16,False,False,False
A3_l0.1_r1.0_k04,A3,deployed_n_union_k,0.1,1.0,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9894,,16,False,False,False
A3_l0.1_r1.0_k08,A3,deployed_n_union_k,0.1,1.0,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9913,,16,False,False,False
A3_l0.1_r1.0_k16,A3,deployed_n_union_k,0.1,1.0,16,6,3,4,0,1,1,31802,13,1.887,0.154,1,0.997,,16,False,False,False
A3_l0.2_r0.0_k02,A3,deployed_n_union_k,0.2,0.0,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9889,,16,False,False,False
A3_l0.2_r0.0_k04,A3,deployed_n_union_k,0.2,0.0,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9903,,16,False,False,False
A3_l0.2_r0.0_k08,A3,deployed_n_union_k,0.2,0.0,8,5,2,4,0,1,0,30988,11,1.614,0.091,1,0.9808,,16,False,False,False
A3_l0.2_r0.0_k16,A3,deployed_n_union_k,0.2,0.0,16,5,2,4,0,1,0,30826,11,1.622,0.091,1,0.9771,,16,False,False,False
A3_l0.2_r0.5_k02,A3,deployed_n_union_k,0.2,0.5,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9889,,16,False,False,False
A3_l0.2_r0.5_k04,A3,deployed_n_union_k,0.2,0.5,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9903,,16,False,False,False
A3_l0.2_r0.5_k08,A3,deployed_n_union_k,0.2,0.5,8,6,3,4,0,1,1,30589,12,1.961,0.167,1,0.9833,,16,False,False,False
A3_l0.2_r0.5_k16,A3,deployed_n_union_k,0.2,0.5,16,5,2,4,0,1,0,31325,12,1.596,0.083,1,0.9887,,16,False,False,False
A3_l0.2_r1.0_k02,A3,deployed_n_union_k,0.2,1.0,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9889,,16,False,False,False
A3_l0.2_r1.0_k04,A3,deployed_n_union_k,0.2,1.0,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9903,,16,False,False,False
A3_l0.2_r1.0_k08,A3,deployed_n_union_k,0.2,1.0,8,6,3,4,0,1,1,30589,12,1.961,0.167,1,0.9833,,16,False,False,False
A3_l0.2_r1.0_k16,A3,deployed_n_union_k,0.2,1.0,16,5,2,4,0,1,0,31325,12,1.596,0.083,1,0.9887,,16,False,False,False
A3_l0.3_r0.0_k02,A3,deployed_n_union_k,0.3,0.0,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9894,,16,False,False,False
